iter	Passed	Remaining
0	0	91
1	1	90
2	2	88
3	3	87
4	4	91
5	5	90
6	6	88
7	7	87
8	8	86
9	9	88
10	10	87
11	11	86
12	12	85
13	13	84
14	14	83
15	16	87
16	17	85
17	18	84
18	19	82
19	20	81
20	21	81
21	23	82
22	24	80
23	25	79
24	26	78
25	27	77
26	28	76
27	29	75
28	30	74
29	31	73
30	32	72
31	34	72
32	35	72
33	36	71
34	37	69
35	38	68
36	39	67
37	40	66
38	42	66
39	43	64
40	44	63
41	44	61
42	45	60
43	47	60
44	48	59
45	49	58
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	72	37
66	73	36
67	74	35
68	75	33
69	76	32
70	77	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	85	25
77	86	24
78	87	23
79	88	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	110	2
98	111	1
99	111	0
